Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,3,,Random0,DISCARD,C1;Q1;J0,0.0,[ 5.  5.  5.  7.  8.  8.  8.  9.  9.  9. 10. 10. 10. 11.  0.  0.  0.],[5. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'pass']",,,,
1,3,,Random1,DISCARD,pass,0.0,[ 2.  4.  5.  6.  6.  7.  7.  8.  8.  8.  9.  9. 10.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,Random2,DISCARD,pass,0.0,[ 2.  3.  6. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,DQN,DISCARD,pass,0.0,[ 4.  6.  6.  6.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random0,DECLARE_PIZZA,,,,,,,,,,
1,4,,Random0,DISCARD,C9;Q3;J0,0.0,[ 5.  5.  5.  7.  8.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C5;Q3;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
1,4,,Random1,DISCARD,C8;Q3;J0,0.0,[ 2.  4.  5.  6.  6.  7.  7.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q3;J0', 'pass']",,,,
1,4,,Random2,DISCARD,pass,0.0,[ 2.  3.  6. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,DQN,DISCARD,C6;Q3;J0,0.0,[ 4.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q3;J0', 'pass']",,,,
1,4,,Random0,DISCARD,C5;Q3;J0,0.0,[ 7.  8.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q3;J0', 'pass']",,,,
1,4,,Random1,DISCARD,pass,0.0,[ 2.  4.  5.  6.  6.  7.  7.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,DQN,DISCARD,pass,0.0,[ 4.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random0,DECLARE_PIZZA,,,,,,,,,,
1,5,,Random0,DISCARD,C8;Q1;J0,0.0,[ 7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C8;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'pass']",,,,
1,5,,Random1,DISCARD,C2;Q1;J0,0.0,[ 4.  5.  6.  6.  7.  7.  9.  9. 10.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C4;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'pass']",,,,
1,5,,Random2,DISCARD,pass,0.0,[ 2.  3.  6. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,DQN,DISCARD,pass,0.0,[ 4.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,Random0,DISCARD,pass,0.0,[ 7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random1,DECLARE_PIZZA,,,,,,,,,,
1,6,,Random1,DISCARD,C10;Q1;J0,0.0,[4. 5. 6. 6. 7. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'pass']",,,,
1,6,,Random2,DISCARD,C2;Q1;J0,0.0,[ 3.  6. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'C6;Q1;J0', 'pass']",,,,
1,6,,DQN,DISCARD,pass,0.0,[ 4.  9.  9.  9.  9. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random0,DISCARD,pass,0.0,[ 7.  8.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,Random1,DISCARD,pass,0.0,[4. 5. 6. 6. 7. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,Random2,DECLARE_PIZZA,,,,,,,,,,
1,7,,Random2,DISCARD,C11;Q1;J0,0.0,[ 3.  6. 10. 10. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C3;Q1;J0', 'C6;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,7,,DQN,DISCARD,C10;Q1;J0,0.0,[ 4.  9.  9.  9.  9. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C4;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C9;Q4;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,7,,Random0,DISCARD,C8;Q2;J0,0.0,[ 7. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'pass']",,,,
1,7,,Random1,DISCARD,C6;Q2;J0,0.0,[4. 5. 7. 7. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'C7;Q2;J0', 'pass']",,,,
1,7,,Random2,DISCARD,pass,0.0,[ 3.  6. 10. 10. 10. 10. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,7,,DQN,DISCARD,pass,0.0,[ 4.  9.  9.  9.  9. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
